Name,Team,Pos,No
Zakhar Bardakov,COL,C,93
Gavin Brindley,COL,C,54
Ross Colton,COL,C,20
Jack Drury,COL,C,18
Nazem Kadri,COL,C,91
Parker Kelly,COL,C,17
Joel Kiviranta,COL,L,94
Gabriel Landeskog,COL,L,92
Artturi Lehkonen,COL,L,62
Nathan MacKinnon,COL,C,29
Martin Necas,COL,C,88
Brock Nelson,COL,C,11
Valeri Nichushkin,COL,R,13
Nicolas Roy,COL,C,10
Nick Blankenburg,COL,D,37
Brent Burns,COL,D,84
Brett Kulak,COL,D,27
Cale Makar,COL,D,8
Sam Malinski,COL,D,70
Josh Manson,COL,D,42
Devon Toews,COL,D,7
Mackenzie Blackwood,COL,G,39
Scott Wedgewood,COL,G,41
Nathan Bastian,DAL,R,11
Jamie Benn,DAL,L,14
Colin Blackwell,DAL,C,15
Mavrik Bourque,DAL,C,22
Michael Bunting,DAL,L,58
Oskar Bäck,DAL,C,10
Matt Duchene,DAL,C,95
Adam Erne,DAL,L,73
Radek Faksa,DAL,C,12
Roope Hintz,DAL,C,24
Justin Hryckowian,DAL,C,49
Arttu Hyry,DAL,R,25
Wyatt Johnston,DAL,C,53
Mikko Rantanen,DAL,R,96
Jason Robertson,DAL,L,21
Tyler Seguin,DAL,C,91
Sam Steel,DAL,C,18
Lian Bichsel,DAL,D,6
Kyle Capobianco,DAL,D,20
Thomas Harley,DAL,D,55
Miro Heiskanen,DAL,D,4
Esa Lindell,DAL,D,23
Nils Lundkvist,DAL,D,5
Ilya Lyubushkin,DAL,D,46
Tyler Myers,DAL,D,57
Alexander Petrovic,DAL,D,28
Casey DeSmith,DAL,G,1
Jake Oettinger,DAL,G,29
Sebastian Aho,CAR,C,20
Jackson Blake,CAR,R,53
William Carrier,CAR,L,28
Nicolas Deslauriers,CAR,L,44
Nikolaj Ehlers,CAR,L,27
Taylor Hall,CAR,L,71
Mark Jankowski,CAR,L,77
Seth Jarvis,CAR,C,24
Jesperi Kotkaniemi,CAR,C,82
Jordan Martinook,CAR,L,48
Eric Robinson,CAR,L,50
Jordan Staal,CAR,C,11
Logan Stankoven,CAR,C,22
Andrei Svechnikov,CAR,R,37
Jalen Chatfield,CAR,D,5
Shayne Gostisbehere,CAR,D,4
K'Andre Miller,CAR,D,19
Alexander Nikishin,CAR,D,21
Mike Reilly,CAR,D,6
Jaccob Slavin,CAR,D,74
Sean Walker,CAR,D,26
Frederik Andersen,CAR,G,31
Brandon Bussi,CAR,G,32
Pyotr Kochetkov,CAR,G,52
Zach Benson,BUF,L,6
