Name,Team,Pos,No,ID
Zakhar Bardakov,COL,C,93,8482947
Gavin Brindley,COL,C,54,8484149
Ross Colton,COL,C,20,8479525
Jack Drury,COL,C,18,8480835
Nazem Kadri,COL,C,91,8475172
Parker Kelly,COL,C,17,8480448
Joel Kiviranta,COL,L,94,8481641
Gabriel Landeskog,COL,L,92,8476455
Artturi Lehkonen,COL,L,62,8477476
Nathan MacKinnon,COL,C,29,8477492
Martin Necas,COL,C,88,8480039
Brock Nelson,COL,C,11,8475754
Valeri Nichushkin,COL,R,13,8477501
Nicolas Roy,COL,C,10,8478462
Nick Blankenburg,COL,D,37,8483565
Brent Burns,COL,D,84,8470613
Brett Kulak,COL,D,27,8476967
Cale Makar,COL,D,8,8480069
Sam Malinski,COL,D,70,8484258
Josh Manson,COL,D,42,8476312
Devon Toews,COL,D,7,8478038
Mackenzie Blackwood,COL,G,39,8478406
Scott Wedgewood,COL,G,41,8475809
Nathan Bastian,DAL,R,11,8479414
Jamie Benn,DAL,L,14,8473994
Colin Blackwell,DAL,C,15,8476278
Mavrik Bourque,DAL,C,22,8482145
Michael Bunting,DAL,L,58,8478047
Oskar Bäck,DAL,C,10,8480840
Matt Duchene,DAL,C,95,8475168
Adam Erne,DAL,L,73,8477454
Radek Faksa,DAL,C,12,8476889
Roope Hintz,DAL,C,24,8478449
Justin Hryckowian,DAL,C,49,8484829
Arttu Hyry,DAL,R,25,8484938
Wyatt Johnston,DAL,C,53,8482740
Mikko Rantanen,DAL,R,96,8478420
Jason Robertson,DAL,L,21,8480027
Tyler Seguin,DAL,C,91,8475794
Sam Steel,DAL,C,18,8479351
Lian Bichsel,DAL,D,6,8483425
Kyle Capobianco,DAL,D,20,8478476
Thomas Harley,DAL,D,55,8481581
Miro Heiskanen,DAL,D,4,8480036
Esa Lindell,DAL,D,23,8476902
Nils Lundkvist,DAL,D,5,8480878
Ilya Lyubushkin,DAL,D,46,8480950
Tyler Myers,DAL,D,57,8474574
Alexander Petrovic,DAL,D,28,8475755
Casey DeSmith,DAL,G,1,8479193
Jake Oettinger,DAL,G,29,8479979
Sebastian Aho,CAR,C,20,8478427
Jackson Blake,CAR,R,53,8482809
William Carrier,CAR,L,28,8477478
Nicolas Deslauriers,CAR,L,44,8475235
Nikolaj Ehlers,CAR,L,27,8477940
Taylor Hall,CAR,L,71,8475791
Mark Jankowski,CAR,L,77,8476873
Seth Jarvis,CAR,C,24,8482093
Jesperi Kotkaniemi,CAR,C,82,8480829
Jordan Martinook,CAR,L,48,8476921
Eric Robinson,CAR,L,50,8480762
Jordan Staal,CAR,C,11,8473533
Logan Stankoven,CAR,C,22,8482702
Andrei Svechnikov,CAR,R,37,8480830
Jalen Chatfield,CAR,D,5,8478970
Shayne Gostisbehere,CAR,D,4,8476906
K'Andre Miller,CAR,D,19,8480817
Alexander Nikishin,CAR,D,21,8482100
Mike Reilly,CAR,D,6,8476422
Jaccob Slavin,CAR,D,74,8476958
Sean Walker,CAR,D,26,8480336
Frederik Andersen,CAR,G,31,8475883
Brandon Bussi,CAR,G,32,8483548
Pyotr Kochetkov,CAR,G,52,8481611
Zach Benson,BUF,L,6,8484145
Sam Carrick,BUF,C,10,8475842
Justin Danforth,BUF,R,15,8479941
Josh Doan,BUF,R,91,8482659
Josh Dunne,BUF,C,44,8482623
Jordan Greenway,BUF,L,12,8478413
Tyson Kozak,BUF,C,48,8482896
Peyton Krebs,BUF,C,19,8481522
Jiri Kulich,BUF,C,20,8483468
Beck Malenstyn,BUF,L,29,8479359
Ryan McLeod,BUF,C,71,8480802
Josh Norris,BUF,C,9,8480064
Noah Ostlund,BUF,C,86,8483500
Tanner Pearson,BUF,L,70,8476871
Jack Quinn,BUF,R,22,8482097
Tage Thompson,BUF,C,72,8479420
Alex Tuch,BUF,R,89,8477949
Jason Zucker,BUF,L,17,8475722
Bowen Byram,BUF,D,4,8481524
Rasmus Dahlin,BUF,D,26,8480839
Michael Kesselring,BUF,D,8,8480891
Zach Metsa,BUF,D,73,8484305
Owen Power,BUF,D,25,8482671
Mattias Samuelsson,BUF,D,23,8480807
Luke Schenn,BUF,D,5,8474568
Logan Stanley,BUF,D,64,8479378
Conor Timmins,BUF,D,21,8479982
Colten Ellis,BUF,G,92,8481551
Ukko-Pekka Luukkonen,BUF,G,1,8480045
Alex Lyon,BUF,G,34,8479312
Matt Boldy,MIN,L,12,8481557
Bobby Brink,MIN,R,10,8481553
Joel Eriksson Ek,MIN,C,14,8478493
Robby Fabbri,MIN,C,21,8477952
Marcus Foligno,MIN,L,17,8475220
Nick Foligno,MIN,L,71,8473422
Hunter Haight,MIN,C,37,8483452
Ryan Hartman,MIN,R,38,8477451
Marcus Johansson,MIN,L,90,8475149
Kirill Kaprizov,MIN,L,97,8478864
Michael McCarron,MIN,C,47,8477446
Nico Sturm,MIN,C,78,8481477
Vladimir Tarasenko,MIN,R,91,8475765
Yakov Trenin,MIN,C,13,8478508
Danila Yurov,MIN,R,22,8483525
Mats Zuccarello,MIN,R,36,8475692
Zach Bogosian,MIN,D,24,8474567
Jonas Brodin,MIN,D,25,8476463
Brock Faber,MIN,D,7,8482122
Quinn Hughes,MIN,D,43,8480800
Daemon Hunt,MIN,D,48,8482094
Jake Middleton,MIN,D,5,8478136
Jeff Petry,MIN,D,2,8473507
Jared Spurgeon,MIN,D,46,8474716
Filip Gustavsson,MIN,G,32,8479406
Jesper Wallstedt,MIN,G,30,8482661
Oliver Bjorkstrand,TBL,R,22,8477416
Anthony Cirelli,TBL,C,71,8478519
Zemgus Girgensons,TBL,C,28,8476878
Gage Goncalves,TBL,C,93,8482201
Yanni Gourde,TBL,C,37,8476826
Jake Guentzel,TBL,C,59,8477404
Brandon Hagel,TBL,L,38,8479542
Pontus Holmberg,TBL,R,29,8480995
Dominic James,TBL,C,17,8483752
Nikita Kucherov,TBL,R,86,8476453
Nick Paul,TBL,L,20,8477426
Corey Perry,TBL,R,10,8470621
Brayden Point,TBL,C,21,8478010
Scott Sabourin,TBL,R,46,8477149
Declan Carlile,TBL,D,67,8483398
Erik Cernak,TBL,D,81,8478416
Max Crozier,TBL,D,24,8481719
Charle-Edouard D'Astous,TBL,D,51,8480426
Victor Hedman,TBL,D,77,8475167
Emil Lilleberg,TBL,D,78,8482929
Ryan McDonagh,TBL,D,27,8474151
J.J. Moser,TBL,D,90,8482655
Darren Raddysh,TBL,D,43,8478178
Steven Santini,TBL,D,16,8477463
Jonas Johansson,TBL,G,31,8477992
Andrei Vasilevskiy,TBL,G,88,8476883
Noel Acciari,PIT,C,55,8478569
Justin Brazeau,PIT,R,16,8479638
Egor Chinakhov,PIT,R,59,8482475
Sidney Crosby,PIT,C,87,8471675
Connor Dewar,PIT,C,19,8480980
Filip Hallander,PIT,C,11,8480842
Kevin Hayes,PIT,R,13,8475763
Ben Kindel,PIT,C,81,8485414
Ville Koivunen,PIT,R,41,8482758
Blake Lizotte,PIT,C,46,8481481
Evgeni Malkin,PIT,C,71,8471215
Anthony Mantha,PIT,R,39,8477511
Tommy Novak,PIT,C,18,8478438
Rickard Rakell,PIT,R,67,8476483
Bryan Rust,PIT,R,17,8475810
Elmer Soderblom,PIT,L,25,8481725
Connor Clifton,PIT,D,75,8477365
Samuel Girard,PIT,D,49,8479398
Ryan Graves,PIT,D,27,8477435
Erik Karlsson,PIT,D,65,8474578
Kris Letang,PIT,D,58,8471724
Ryan Shea,PIT,D,5,8478854
Ilya Solovyov,PIT,D,7,8482470
Jack St. Ivany,PIT,D,3,8481030
Parker Wotherspoon,PIT,D,28,8478450
Arturs Silovs,PIT,G,37,8481668
Stuart Skinner,PIT,G,74,8479973
Josh Anderson,MTL,R,17,8476981
Zachary Bolduc,MTL,R,76,8482737
Cole Caufield,MTL,R,13,8481540
Kirby Dach,MTL,C,77,8481523
Phillip Danault,MTL,C,24,8476479
Ivan Demidov,MTL,R,93,8484984
Jake Evans,MTL,C,71,8478133
Brendan Gallagher,MTL,R,11,8475848
Oliver Kapanen,MTL,C,91,8482775
Patrik Laine,MTL,R,92,8479339
Alex Newhook,MTL,C,15,8481618
Juraj Slafkovský,MTL,L,20,8483515
Nick Suzuki,MTL,C,14,8480018
Alexandre Texier,MTL,L,85,8480074
Joe Veleno,MTL,C,90,8480813
Alexandre Carrier,MTL,D,45,8478851
Noah Dobson,MTL,D,53,8480865
Kaiden Guhle,MTL,D,21,8482087
Lane Hutson,MTL,D,48,8483457
Mike Matheson,MTL,D,8,8476875
Jayden Struble,MTL,D,47,8481593
Arber Xhekaj,MTL,D,72,8482964
Jakub Dobes,MTL,G,75,8482487
Jacob Fowler,MTL,G,32,8484170
Samuel Montembeault,MTL,G,35,8478470
Viktor Arvidsson,BOS,L,71,8478042
Michael Eyssimont,BOS,C,81,8479591
Morgan Geekie,BOS,C,39,8479987
Tanner Jeannot,BOS,L,84,8479661
Mark Kastelic,BOS,C,47,8480355
Marat Khusnutdinov,BOS,C,92,8482177
Sean Kuraly,BOS,C,52,8476374
Elias Lindholm,BOS,C,28,8477496
Fraser Minten,BOS,C,93,8483489
